training_step,curriculum_phase,success,termination,return,time_seconds,path_rmse_m,path_p95_m,endpoint_distance_m,heading_rmse_deg,challenge_clear_fraction
801049,1,True,success,174.19406261462885,11.900000000692671,0.11063889500423928,0.23548954913644354,0.08751639829347983,5.83455304452999,0.7777777777777778
801153,1,True,success,261.9929121611696,10.40000000060536,0.009732284723496224,0.020134297014484204,0.08499090903253914,0.7420933491304423,1.0
801288,1,False,goal_missed,-104.16088967888032,13.500000000785803,0.14368323389167684,0.3145025870056299,0.40817461812056066,4.923534921368944,1.0
801388,1,True,success,249.2511550727817,10.000000000582077,0.027171262214367102,0.038751836783888126,0.09122398280765963,0.5971849985555235,0.8888888888888888
801532,1,False,goal_missed,-138.83811152723547,14.40000000083819,0.17815378478901167,0.4213925827124424,0.5071252778358244,12.209845140376249,1.0
801641,1,False,off_path,-176.71801151223457,10.900000000634464,0.44603013781399753,1.0763359908298602,1.125858072096827,19.11954489771279,1.0
801802,1,False,goal_missed,-215.08388468660667,16.100000000937143,0.23593064520762538,0.3905513769201907,0.3269062205633633,19.22623566044662,1.0
801927,1,False,goal_missed,-68.3542830441007,12.500000000727596,0.13471001851157605,0.2608811800352268,0.3427084688846011,1.5849705391649391,0.8888888888888888
802065,1,False,goal_missed,-165.29206271287367,13.800000000803266,0.24275274471663824,0.4299528314428795,0.49137882639678726,5.54653965206152,1.0
802190,1,False,goal_missed,-66.30310776666374,12.500000000727596,0.1374228729782729,0.2969252993794276,0.3870895851299461,3.1258948980254395,0.8888888888888888
802332,1,False,goal_missed,-176.24218339892195,14.200000000826549,0.25623931311623205,0.5656177433764162,0.6340995381496091,10.66664206384151,1.0
802433,1,True,success,260.32573079522996,10.100000000587897,0.022899582466259383,0.05092862256168396,0.090319662980286,1.2953896829018083,1.0
802547,1,True,success,217.172483857715,11.400000000663567,0.04271092676205703,0.10788236437543826,0.08635223181002344,3.775170722470233,1.0
802649,1,True,success,259.04338649456486,10.200000000593718,0.024935921490644226,0.06251466499442045,0.08897093291012258,1.1348062029492676,1.0
802763,1,True,success,213.85518420261744,11.400000000663567,0.04329480140559165,0.09134736796778536,0.09740658282742222,4.244821145045418,1.0
802875,1,False,off_path,-187.30684619192445,11.200000000651926,0.4532971720064745,1.0471445895859017,1.1080387803621583,19.338582521351256,0.8888888888888888
802948,1,False,off_path,-220.29471647525196,7.300000000424916,0.5794370951195118,1.096390105024812,2.324221532545795,20.244766970337928,0.3333333333333333
803072,1,False,goal_missed,-52.24482519271913,12.400000000721775,0.10281273723364937,0.25331072461274917,0.33881100046505147,2.495169077635246,1.0
803186,1,True,success,209.31159935226611,11.400000000663567,0.039960388302588475,0.08740196683523589,0.0863003059877002,4.5383645801658465,1.0
803310,1,False,goal_missed,-62.7296654331376,12.400000000721775,0.1331126388355266,0.2949269547605854,0.3798943081072132,3.0372791667441743,1.0
803452,1,False,goal_missed,-98.48171117950389,14.200000000826549,0.10005240223626446,0.22552435186213182,0.3033629777538415,10.71177396553287,1.0
803570,1,False,off_path,-215.60898921805313,11.80000000068685,0.48284859027072907,1.0197204982372716,1.0553350041999687,18.3988190175517,0.8888888888888888
803732,1,False,goal_missed,-163.08250287898153,16.200000000942964,0.16817549397484324,0.2931436593720444,0.30216734043653487,16.23303526176616,1.0
803856,1,False,goal_missed,-63.65414900943816,12.400000000721775,0.12584240893530213,0.2709841010219963,0.35078316987496466,2.0261672720657873,0.7777777777777778
803988,1,False,goal_missed,-170.15405089571817,13.200000000768341,0.2643912105222066,0.45131976291355363,0.5245597764747746,5.005047930708241,0.8888888888888888
804111,1,False,goal_missed,-110.44917574189465,12.300000000715954,0.22903162611207484,0.42060859952819096,0.48375365515871316,3.8588763221788533,1.0
804247,1,False,goal_missed,-142.7461889555147,13.600000000791624,0.19778576480895824,0.3096144551642531,0.3590508034780603,4.968674241155725,0.8888888888888888
804372,1,False,goal_missed,-55.36079954479505,12.500000000727596,0.10954346983558673,0.2580854651898378,0.33707758106575003,1.5871946377340849,0.8888888888888888
804525,1,False,goal_missed,-167.29450719350226,15.300000000890577,0.17463738860920708,0.2426378634310562,0.31007565332275194,17.051563194004405,1.0
804630,1,True,success,256.53438669886464,10.50000000061118,0.05294630237668642,0.07988341835651308,0.09289857394525046,0.845141290947657,1.0
804769,1,False,goal_missed,-279.8683313400724,13.900000000809086,0.40001514090177664,0.7672591509689515,0.8236392296118175,11.144723469711408,1.0
804897,1,False,goal_missed,-54.39952037997852,12.800000000745058,0.10816507346302369,0.2667472159045325,0.3468290283748366,2.472715873783104,1.0
805047,1,False,goal_missed,-177.68320285633297,15.000000000873115,0.22511120568918436,0.37081432735591285,0.332654583699306,16.98574285990765,1.0
805171,1,False,goal_missed,-97.01469536391909,12.400000000721775,0.20205961322337937,0.34283961044990513,0.415201498992629,2.618072007551714,1.0
805288,1,True,success,209.5299067205887,11.70000000068103,0.05980231217153731,0.10312446769672177,0.0917527780819838,4.279295944104865,1.0
805411,1,False,goal_missed,-58.20625949686131,12.300000000715954,0.11443837341634266,0.262943790694861,0.3483294367231356,2.301954748185799,1.0
805549,1,False,goal_missed,-232.05499887066625,13.800000000803266,0.3497467661719013,0.674302777729905,0.7326636834494062,8.296323746861967,0.8888888888888888
805675,1,False,goal_missed,-76.77308215002871,12.600000000733417,0.16493916982628154,0.34735783337080206,0.41830672943455294,3.726187028308955,1.0
805812,1,False,goal_missed,-159.39044849504333,13.700000000797445,0.24111753198189428,0.47688029783227737,0.5547412942418917,7.8215723343045624,1.0
805925,1,False,off_path,-189.11035644323516,11.300000000657747,0.4537601200895871,1.0390814247602151,1.0794831917605172,18.699630081068545,0.7777777777777778
806065,1,False,goal_missed,-103.68235952671986,14.000000000814907,0.15413180144625963,0.3177856120517575,0.39984226293845027,3.6678781577052435,1.0
806193,1,False,goal_missed,-90.28645164543939,12.800000000745058,0.19688066848272542,0.3948266181453887,0.46623312949236057,4.610813574509475,0.8888888888888888
806330,1,False,goal_missed,-88.89108324713234,13.700000000797445,0.11020745485348449,0.255122891405888,0.35412399461725813,3.187114874486072,1.0
806461,1,False,goal_missed,-268.74547139506956,13.10000000076252,0.44485523255514015,0.8271122204350887,0.8947186377094142,12.007327335730695,1.0
806601,1,False,goal_missed,-144.41516578869346,14.000000000814907,0.21557504243122172,0.4318294655120363,0.5077662630903738,5.894261050502218,0.8888888888888888
806728,1,False,goal_missed,-50.77610996447935,12.700000000739237,0.09652053288649656,0.2493549664587287,0.33314151622487476,2.526515670440987,1.0
806864,1,False,goal_missed,-172.91031664755988,13.600000000791624,0.26855200269981355,0.4737854439358652,0.5354448905004028,5.4850866199162525,1.0
806990,1,False,goal_missed,-61.14723134474453,12.600000000733417,0.12681870165593043,0.2990896093941707,0.38212772947019913,3.8323327275519214,1.0
